"id","label","desc","wikidata_id","original_id","width","height","depth","thickness","h_status","w_status","t_status","discovery_year","discovery_who","currentsetting","currentlocation","form","completeness","preservation","preservation_note","smr_no"
10000026,"CIIC 121 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892534","121",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000027,"CIIC 122 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892536","122",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000028,"CIIC 123 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892539","123",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000029,"CIIC 124 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892540","124",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000030,"CIIC 125 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892545","125",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000031,"CIIC 126 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892549","126",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000032,"CIIC 127 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70885722","127",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000033,"CIIC 128 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70885734","128",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000034,"CIIC 129 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892550","129",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000035,"CIIC 13 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70899521","13",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000036,"CIIC 130 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892553","130",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000037,"CIIC 131 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892555","131",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000038,"CIIC 132 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892556","132",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000039,"CIIC 133 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892558","133",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000040,"CIIC 134 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892561","134",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000041,"CIIC 135 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892563","135",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000042,"CIIC 136 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892567","136",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000043,"CIIC 137 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892569","137",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000044,"CIIC 138 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892572","138",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000045,"CIIC 139 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892574","139",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000046,"CIIC 14 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70899522","14",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000047,"CIIC 140 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892577","140",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000048,"CIIC 141 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892578","141",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000049,"CIIC 142 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892582","142",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000050,"CIIC 143 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892584","143",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000051,"CIIC 144 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892586","144",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000052,"CIIC 145 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892592","145",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000053,"CIIC 146 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892594","146",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000054,"CIIC 147 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892598","147",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000055,"CIIC 148 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892599","148",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000056,"CIIC 149 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892602","149",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000057,"CIIC 15 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892312","15",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000058,"CIIC 150 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892604","150",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000059,"CIIC 151 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892606","151",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000060,"CIIC 152 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892609","152",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000061,"CIIC 153 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892611","153",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000062,"CIIC 154 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q85409935","154",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000063,"CIIC 155 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892616","155",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000064,"CIIC 156 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892620","156",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000065,"CIIC 157 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892623","157",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000066,"CIIC 158 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892626","158",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000067,"CIIC 159 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892629","159",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000068,"CIIC 16 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70899524","16",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000069,"CIIC 160 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892630","160",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000070,"CIIC 161 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892632","161",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000071,"CIIC 162 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892635","162",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000072,"CIIC 163 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892636","163",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000073,"CIIC 164 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892643","164",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000074,"CIIC 165 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892646","165",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000075,"CIIC 166 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892648","166",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000076,"CIIC 167 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892652","167",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000077,"CIIC 168 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892653","168",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000078,"CIIC 169 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892655","169",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000079,"CIIC 17 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892316","17",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000080,"CIIC 170 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892659","170",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000081,"CIIC 171 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892660","171",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000082,"CIIC 172 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892662","172",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000083,"CIIC 173 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892669","173",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000084,"CIIC 174 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892670","174",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000085,"CIIC 175 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892674","175",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000086,"CIIC 176 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892676","176",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000087,"CIIC 177 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892679","177",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000088,"CIIC 178 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892682","178",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000089,"CIIC 179 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892683","179",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000090,"CIIC 18 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892318","18",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000091,"CIIC 180 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892686","180",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000092,"CIIC 181 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892689","181",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000093,"CIIC 182 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892693","182",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000094,"CIIC 183 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892695","183",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000095,"CIIC 184 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892699","184",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000096,"CIIC 185 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892701","185",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000097,"CIIC 186 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892704","186",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000098,"CIIC 187 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892706","187",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000099,"CIIC 188 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892708","188",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000100,"CIIC 189 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892711","189",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000101,"CIIC 19 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70899528","19",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000102,"CIIC 190 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892714","190",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000103,"CIIC 191 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892719","191",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000104,"CIIC 192 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892722","192",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000105,"CIIC 193 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892725","193",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000106,"CIIC 194 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892726","194",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000107,"CIIC 194a (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q85409967","194a",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000108,"CIIC 195 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892731","195",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000109,"CIIC 196 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892732","196",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000110,"CIIC 197 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892734","197",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000111,"CIIC 198 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892738","198",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000112,"CIIC 199 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892739","199",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000113,"CIIC 2 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892276","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000114,"CIIC 20 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892328","20",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000115,"CIIC 200 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892745","200",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000116,"CIIC 201 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892748","201",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10000117,"CIIC 202 (Ogham Stone Concept by RAS Macalister)","Ogham Stone, Ireland","Q70892750","202",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
